cpu_usage,memory_usage,net_upload_mbps,net_download_mbps,disk_read_mbps,disk_write_mbps,idle
10.19,53.01,0.42,0.86,1.5,0.88,1
2.49,52.24,0.34,0.18,1.39,0.46,1
2.56,51.56,0.0,0.72,1.46,1.03,1
1.34,51.27,0.01,0.17,1.78,0.48,1
1.67,50.39,0.11,0.52,1.22,0.49,1
5.93,50.5,0.12,0.22,1.92,1.23,1
6.3,49.84,0.21,0.54,1.39,1.4,1
7.55,49.07,0.21,0.87,1.26,1.07,1
9.12,48.49,0.06,0.34,0.29,1.38,1
5.94,47.52,0.45,0.2,1.02,0.84,1
11.91,47.9,0.03,0.47,1.12,1.26,1
3.87,48.54,0.0,0.72,1.07,1.67,1
12.67,47.91,0.24,0.33,1.58,0.9,1
12.84,48.52,0.44,0.47,0.15,0.78,1
13.54,48.6,0.1,0.07,1.75,0.78,1
14.52,49.21,0.03,0.65,0.15,0.75,1
52.51,48.91,19.95,58.11,19.45,14.91,0
47.94,49.22,2.31,40.11,25.89,37.52,0
73.16,48.23,1.16,25.68,34.78,26.78,0
80.34,48.4,15.68,57.1,7.99,39.49,0
78.65,48.74,15.28,81.29,28.31,11.31,0
66.54,49.24,15.1,21.14,13.77,45.07,0
88.12,49.4,15.42,61.73,34.44,45.01,0
67.43,48.81,3.97,50.02,37.24,17.19,0
43.54,48.82,5.59,25.42,24.12,45.85,0
34.09,49.14,2.46,71.13,22.23,41.98,0
79.72,49.41,6.17,70.77,16.88,47.26,0
44.34,49.6,6.12,23.14,36.26,14.84,0
39.85,48.98,13.58,82.42,40.01,39.24,0
26.63,48.5,14.28,39.99,24.46,6.4,0
22.53,48.83,17.7,28.12,30.08,6.75,0
44.23,49.82,18.06,89.37,19.64,45.54,0
81.91,49.01,17.05,28.66,30.95,8.03,0
94.92,50.01,7.21,76.08,41.3,43.61,0
38.11,49.73,1.77,44.06,10.85,6.01,0
78.78,48.76,11.76,34.71,34.45,15.44,0
77.33,49.0,12.85,77.42,6.75,42.67,0
62.25,49.98,12.87,87.12,31.41,31.14,0
76.75,50.17,9.4,72.2,22.52,15.3,0
89.61,51.16,18.65,37.48,28.75,14.52,0
93.58,50.27,13.34,81.42,37.18,31.69,0
54.11,49.6,13.82,69.37,21.79,47.38,0
57.53,48.92,14.13,71.23,34.19,17.39,0
67.7,49.25,12.39,22.04,36.73,25.48,0
82.8,49.65,4.22,6.82,40.06,32.44,0
82.86,49.46,16.25,96.29,29.12,26.98,0
31.53,49.64,11.88,31.32,46.46,31.24,0
46.62,49.85,1.99,8.02,24.05,8.81,0
86.07,50.63,17.78,67.61,14.51,43.83,0
34.75,49.69,15.01,32.22,41.12,49.88,0
87.3,48.81,12.83,97.47,25.93,43.13,0
45.15,49.69,2.27,97.66,41.76,43.36,0
26.38,49.63,8.33,11.75,14.49,15.32,0
40.14,50.14,2.92,20.91,11.63,48.79,0
92.58,49.74,9.36,31.45,40.92,19.68,0
37.44,48.87,3.46,29.36,20.99,35.33,0
35.79,48.18,16.37,18.96,20.42,43.91,0
26.21,47.45,10.21,33.73,30.35,41.17,0
63.55,47.43,10.6,18.69,33.08,17.31,0
26.17,47.27,9.73,34.11,42.01,7.56,0
54.38,47.99,14.78,59.56,35.02,39.97,0
43.54,47.73,11.22,84.81,49.53,45.03,0
34.64,48.41,10.3,75.46,27.17,26.74,0
47.11,48.93,17.34,43.65,19.77,25.43,0
29.45,49.09,4.73,95.39,12.9,30.55,0
56.72,49.42,13.25,26.83,29.87,21.75,0
2.2,48.78,0.29,0.19,0.56,0.44,1
12.4,48.07,0.14,0.93,1.94,1.14,1
5.68,48.76,0.4,0.37,0.17,1.11,1
11.96,49.51,0.09,0.67,0.44,0.44,1
3.82,49.76,0.13,0.0,1.74,1.59,1
11.28,49.73,0.08,0.46,0.7,0.19,1
13.82,50.55,0.02,0.29,0.42,0.48,1
7.07,50.41,0.23,0.76,0.31,0.97,1
8.99,49.75,0.5,0.77,0.8,1.66,1
0.55,50.57,0.1,0.34,1.02,1.23,1
7.7,50.45,0.25,0.05,0.07,1.1,1
12.6,49.55,0.08,0.02,0.9,0.47,1
10.9,49.31,0.06,0.61,0.56,0.35,1
12.04,48.78,0.2,0.75,0.25,1.55,1
10.19,47.82,0.28,0.93,0.77,0.13,1
12.42,46.88,0.26,0.78,0.47,0.69,1
14.43,47.24,0.33,0.93,0.53,1.22,1
4.83,46.79,0.42,0.95,1.77,1.48,1
4.3,47.04,0.48,0.01,1.43,1.41,1
14.85,46.56,0.16,0.34,0.16,0.89,1
5.22,47.42,0.42,0.94,0.37,0.75,1
1.02,48.35,0.05,0.16,1.19,0.3,1
6.76,48.86,0.25,0.25,0.94,1.32,1
11.33,47.97,0.29,0.9,1.63,1.51,1
0.2,48.74,0.11,0.66,0.82,0.8,1
13.44,48.12,0.45,0.31,1.38,0.54,1
2.85,48.59,0.17,0.43,1.66,0.24,1
8.02,48.45,0.14,0.49,0.6,1.19,1
2.55,48.92,0.06,0.55,1.8,0.69,1
9.91,49.72,0.47,0.82,1.13,1.31,1
6.05,48.93,0.16,0.01,1.65,1.6,1
8.7,48.06,0.23,0.12,1.96,0.43,1
8.96,47.27,0.37,0.03,1.32,1.06,1
2.67,48.23,0.28,0.3,1.88,1.64,1
3.97,47.34,0.48,0.43,0.7,0.1,1
10.41,47.49,0.23,0.23,1.23,0.51,1
5.45,47.22,0.41,0.82,0.95,0.7,1
12.11,47.18,0.16,0.21,0.17,0.93,1
12.63,46.95,0.11,0.38,1.62,1.65,1
6.94,47.32,0.15,0.93,0.24,1.87,1
8.02,47.63,0.02,0.48,0.82,0.32,1
14.57,46.87,0.28,0.71,0.14,0.84,1
9.23,46.97,0.47,0.66,0.15,0.71,1
6.11,46.48,0.42,0.81,1.22,0.75,1
1.68,45.62,0.18,0.41,1.35,1.32,1
5.99,45.46,0.09,0.16,1.65,0.08,1
2.61,45.92,0.44,0.56,0.46,1.0,1
14.38,46.19,0.11,0.89,1.87,1.83,1
9.48,46.05,0.2,0.75,1.06,1.35,1
11.0,46.74,0.41,0.15,1.67,1.08,1
52.35,46.71,8.2,91.93,16.3,42.99,0
58.56,46.25,6.86,59.44,19.63,6.77,0
20.48,45.94,19.59,96.75,22.78,37.78,0
70.33,45.47,16.3,94.94,23.01,40.25,0
94.27,44.71,1.49,62.34,34.68,35.96,0
90.39,44.81,4.44,64.16,15.02,18.82,0
51.29,45.6,4.04,21.24,23.82,39.08,0
26.31,45.81,8.47,14.52,5.75,34.78,0
32.23,45.08,5.44,7.25,42.57,48.86,0
37.36,44.16,17.5,93.01,23.88,7.28,0
63.05,44.73,8.47,7.72,31.25,5.51,0
42.98,44.82,1.76,60.89,22.9,48.82,0
40.64,44.92,14.48,30.79,45.69,21.86,0
23.79,44.37,9.1,84.07,41.25,15.09,0
81.3,45.11,18.68,14.06,25.25,20.19,0
26.26,45.0,5.01,76.48,7.31,27.16,0
45.08,45.61,8.5,55.34,12.26,30.74,0
77.01,45.43,3.92,19.18,17.07,21.25,0
70.98,44.81,2.08,8.29,22.64,36.37,0
68.11,44.27,5.94,89.18,45.31,18.38,0
50.85,44.92,5.57,68.88,42.17,35.29,0
49.77,44.46,3.97,75.11,21.22,35.21,0
26.09,45.05,19.86,19.84,49.48,48.98,0
69.46,45.29,11.98,87.28,18.02,26.05,0
50.84,44.69,9.12,36.38,30.39,43.28,0
90.08,43.72,14.09,83.21,30.03,40.08,0
81.38,43.14,1.76,89.54,49.64,18.23,0
77.4,44.1,5.81,87.23,9.63,10.67,0
70.54,44.31,17.09,35.81,35.44,31.74,0
71.19,43.76,11.93,45.76,17.42,39.59,0
71.93,42.88,5.43,64.41,38.62,14.84,0
29.82,42.56,12.51,85.7,7.02,38.04,0
55.89,41.73,18.65,36.54,25.94,5.62,0
39.39,41.08,1.53,64.98,24.19,29.67,0
42.19,41.23,13.61,96.7,7.27,45.07,0
62.29,40.91,10.51,11.59,9.04,32.04,0
88.8,40.96,8.73,18.61,37.16,18.2,0
72.34,41.86,18.11,80.26,35.44,35.58,0
42.19,42.12,1.02,30.84,14.81,34.78,0
64.51,42.24,1.31,74.23,19.56,34.93,0
45.7,42.54,3.56,13.97,42.42,46.33,0
27.76,41.54,8.64,74.25,40.09,10.32,0
73.41,42.24,7.78,29.18,5.58,29.31,0
91.82,42.0,11.75,53.87,8.83,29.7,0
65.54,41.19,8.39,27.83,9.27,19.17,0
33.27,42.18,19.76,47.19,28.93,44.31,0
63.7,42.53,16.44,36.06,18.76,23.12,0
71.16,42.68,6.99,17.65,33.46,10.77,0
72.01,43.14,14.31,76.58,44.28,27.5,0
66.44,43.38,4.55,7.44,17.8,24.94,0
12.76,43.34,0.1,0.13,1.93,0.22,1
8.82,43.51,0.27,0.09,0.11,0.21,1
8.21,43.5,0.12,0.64,1.64,0.08,1
10.37,44.12,0.13,0.31,1.23,1.8,1
8.79,43.5,0.37,0.36,1.28,0.93,1
10.56,43.13,0.28,0.36,1.82,0.04,1
0.95,42.93,0.38,0.7,0.66,1.35,1
11.37,42.17,0.23,0.41,1.87,0.5,1
8.81,42.18,0.48,0.38,0.12,0.68,1
2.51,41.98,0.33,1.0,0.9,0.71,1
1.82,41.86,0.44,0.41,0.77,1.32,1
9.76,42.77,0.03,0.81,1.88,1.3,1
2.36,42.45,0.24,0.6,1.16,0.8,1
1.99,41.57,0.2,0.16,1.47,0.42,1
8.33,42.17,0.3,0.87,1.15,0.69,1
8.15,41.77,0.04,0.57,1.82,0.79,1
2.24,42.65,0.08,0.43,1.19,0.16,1
11.35,42.91,0.29,0.83,0.16,0.95,1
12.45,43.66,0.39,0.28,1.88,0.25,1
14.57,43.69,0.09,0.72,0.08,0.81,1
8.75,44.59,0.47,0.67,0.96,1.62,1
0.43,43.85,0.49,0.09,1.63,0.56,1
6.65,44.66,0.32,0.38,0.11,1.2,1
5.81,45.31,0.11,0.44,0.1,1.64,1
8.86,45.57,0.18,0.8,1.11,1.65,1
11.79,45.78,0.3,0.41,1.92,1.08,1
3.39,45.99,0.31,0.57,0.37,0.12,1
11.48,45.88,0.26,0.23,1.33,0.16,1
2.53,45.67,0.09,0.2,0.77,0.1,1
7.72,45.68,0.24,0.38,1.68,0.29,1
1.02,45.8,0.04,0.57,1.13,1.76,1
14.4,45.88,0.02,0.1,0.09,0.37,1
9.72,45.04,0.02,0.95,1.68,0.59,1
2.63,44.75,0.06,0.12,1.04,0.49,1
14.84,44.86,0.34,0.95,0.29,0.76,1
1.24,44.84,0.0,0.67,1.28,0.82,1
6.29,45.75,0.01,0.34,0.35,0.2,1
9.03,44.95,0.36,0.32,0.79,0.47,1
2.77,45.79,0.4,0.68,1.09,0.95,1
1.18,45.27,0.14,0.35,1.56,1.99,1
13.13,46.23,0.42,0.22,0.8,0.82,1
2.8,46.39,0.4,0.33,1.46,0.84,1
12.51,45.67,0.4,0.87,0.12,1.38,1
6.3,44.94,0.27,0.4,1.04,1.99,1
10.16,45.7,0.2,0.13,0.32,1.9,1
13.61,45.67,0.5,0.21,0.71,1.34,1
6.33,45.61,0.18,0.59,1.15,0.32,1
8.35,45.32,0.29,0.21,1.48,0.05,1
11.73,45.91,0.28,0.26,1.39,1.13,1
11.05,45.75,0.31,0.49,0.27,0.52,1
64.95,45.32,10.76,32.38,5.29,27.33,0
75.1,45.26,1.45,60.56,47.37,12.85,0
26.86,46.06,12.89,57.3,23.33,28.46,0
34.72,46.25,1.43,86.86,30.97,45.08,0
80.76,45.61,9.16,76.24,46.09,30.75,0
40.16,45.79,4.77,28.45,18.79,29.98,0
51.99,45.82,12.69,12.75,8.95,12.73,0
36.05,46.12,6.38,43.03,41.53,5.62,0
70.17,46.9,16.17,93.61,5.91,11.92,0
54.39,47.89,11.73,67.99,35.56,46.93,0
74.01,48.68,6.46,88.58,7.21,15.4,0
39.21,49.03,5.19,18.12,43.66,27.5,0
37.93,48.45,15.4,77.2,19.07,23.48,0
93.24,48.98,13.27,93.78,18.65,40.19,0
71.87,49.44,19.35,42.39,10.88,35.23,0
63.13,49.73,4.93,52.92,19.05,24.24,0
75.89,50.3,5.41,43.51,17.11,13.94,0
88.19,49.67,8.03,76.37,45.36,43.08,0
91.72,48.88,8.16,37.23,7.81,26.88,0
38.64,49.6,7.02,81.84,44.4,18.61,0
84.29,49.97,15.53,18.94,36.06,47.53,0
44.87,49.59,10.51,66.34,27.98,10.4,0
80.18,49.92,17.37,18.04,47.86,19.8,0
76.39,49.18,16.43,94.85,19.08,43.63,0
72.88,48.52,15.1,69.38,16.35,44.29,0
24.02,47.85,14.63,50.17,43.21,22.25,0
82.73,48.06,11.43,22.97,37.42,28.0,0
54.57,48.74,16.75,83.81,36.92,9.74,0
70.33,47.96,14.24,39.48,44.57,37.64,0
50.58,48.23,17.84,9.48,48.26,35.56,0
40.29,48.01,5.73,94.5,18.42,39.9,0
30.44,47.73,1.2,56.7,48.91,21.61,0
45.81,47.74,10.89,46.86,44.6,27.75,0
30.38,47.93,19.67,28.75,8.3,34.84,0
51.14,48.23,9.02,79.58,13.81,41.91,0
51.42,47.87,9.7,29.38,38.85,28.08,0
64.7,46.98,19.92,46.35,46.43,20.53,0
35.32,47.67,8.96,25.87,5.01,46.18,0
75.67,48.53,4.19,16.43,8.04,37.58,0
52.29,48.77,3.26,53.68,20.7,21.87,0
73.9,47.88,3.1,8.38,49.74,15.47,0
34.24,47.77,1.74,42.22,41.11,20.36,0
70.67,48.32,10.67,86.84,43.97,5.45,0
54.56,47.82,19.79,50.91,49.41,38.96,0
60.38,47.51,19.85,86.47,9.38,36.79,0
20.52,48.17,8.67,27.3,41.85,20.18,0
20.04,47.54,6.85,27.91,15.51,8.07,0
61.67,48.35,6.54,44.65,21.96,44.42,0
56.97,47.95,7.27,15.15,47.9,7.71,0
42.35,48.22,7.09,20.61,40.24,10.51,0
1.95,48.31,0.04,0.91,0.38,1.64,1
1.26,49.01,0.48,0.25,1.72,0.34,1
0.3,49.65,0.26,0.77,1.87,1.82,1
13.33,49.44,0.1,0.28,0.58,0.75,1
8.21,49.45,0.08,0.69,0.34,0.62,1
11.97,48.62,0.37,0.65,0.31,1.09,1
5.72,49.53,0.21,0.04,0.55,1.91,1
5.35,48.81,0.02,0.18,0.78,1.9,1
11.48,48.5,0.05,0.98,0.76,1.55,1
9.45,49.27,0.1,0.15,1.88,1.84,1
9.42,49.54,0.4,0.07,0.67,0.63,1
5.4,48.81,0.07,0.6,1.63,0.76,1
3.03,49.2,0.12,0.3,1.29,1.2,1
5.5,48.56,0.41,0.2,0.94,1.6,1
1.74,48.94,0.44,0.34,1.37,0.05,1
4.81,48.1,0.03,0.61,0.48,0.77,1
2.29,48.07,0.15,0.09,1.82,0.01,1
1.94,47.48,0.15,0.93,0.32,1.93,1
11.15,46.87,0.27,0.88,1.11,1.07,1
2.58,46.55,0.46,0.33,0.74,1.52,1
14.29,46.06,0.37,0.6,1.76,0.1,1
7.03,45.75,0.11,0.74,1.84,0.85,1
14.43,45.88,0.22,0.49,0.7,1.82,1
11.46,45.61,0.41,0.34,0.87,1.7,1
11.93,46.3,0.47,0.62,1.48,1.61,1
5.99,46.8,0.03,0.4,1.35,0.9,1
5.42,46.21,0.32,0.19,1.5,1.09,1
4.45,46.64,0.37,0.48,0.43,1.93,1
14.36,47.05,0.21,0.48,1.8,1.05,1
3.86,46.13,0.22,0.12,0.41,0.0,1
14.66,45.44,0.12,0.66,1.68,1.1,1
10.95,45.58,0.3,0.73,1.54,1.95,1
5.19,45.24,0.32,0.07,1.79,0.24,1
12.25,44.92,0.3,0.39,0.95,1.71,1
13.06,44.78,0.04,0.78,1.7,0.36,1
2.57,44.2,0.35,0.54,1.27,0.39,1
0.72,44.07,0.16,0.56,1.72,1.33,1
14.3,43.18,0.36,0.93,1.06,0.52,1
10.92,43.38,0.06,0.3,1.06,1.13,1
2.58,44.23,0.19,0.62,1.94,1.46,1
11.46,44.43,0.3,0.19,1.33,1.25,1
7.4,45.04,0.26,0.33,1.04,0.4,1
2.87,44.6,0.04,0.44,1.32,0.88,1
8.42,44.25,0.17,0.93,1.85,1.0,1
11.08,43.28,0.02,0.47,0.67,1.84,1
8.34,43.31,0.37,0.49,0.17,1.94,1
9.25,42.52,0.12,0.48,0.86,0.15,1
12.58,41.65,0.12,0.19,1.01,1.54,1
8.69,40.88,0.06,0.04,0.11,1.67,1
0.77,39.96,0.22,0.84,0.52,0.84,1
53.68,39.18,11.97,59.24,19.96,19.2,0
47.51,39.91,2.89,77.83,48.48,48.65,0
65.06,39.87,14.32,32.09,33.38,25.5,0
76.83,39.84,6.36,35.21,46.61,7.53,0
88.46,40.55,12.6,56.91,16.24,20.45,0
61.94,40.3,10.78,14.46,5.72,48.37,0
65.24,39.55,2.51,69.9,46.97,30.9,0
63.63,40.35,15.56,43.61,44.59,34.19,0
66.76,40.87,3.49,34.42,14.08,45.9,0
70.73,40.32,6.72,22.48,39.04,26.34,0
66.25,41.29,1.77,35.99,26.09,11.66,0
35.68,41.42,3.48,24.34,39.61,24.15,0
21.58,40.6,1.65,47.35,41.75,44.84,0
60.38,41.47,18.35,41.86,42.33,11.02,0
76.36,41.02,18.89,69.28,21.35,47.22,0
44.91,41.61,14.32,77.71,46.82,14.22,0
75.39,42.58,2.21,41.79,17.72,18.7,0
68.21,42.45,14.64,97.78,21.97,41.08,0
85.22,42.96,4.43,95.03,14.84,19.68,0
49.53,42.08,12.56,47.23,38.41,15.27,0
42.49,41.19,10.01,20.96,20.97,23.0,0
63.75,41.03,17.8,19.42,31.9,34.91,0
72.58,41.36,8.8,52.94,5.33,36.13,0
22.88,42.18,8.0,98.01,23.93,27.59,0
73.79,42.13,12.06,80.79,43.9,25.56,0
48.95,42.09,19.37,71.23,8.75,43.83,0
25.16,42.74,11.44,44.63,44.5,14.18,0
61.83,42.68,2.04,97.33,28.07,18.09,0
84.34,43.24,6.79,23.3,10.81,18.4,0
55.37,42.92,5.32,20.79,19.97,47.3,0
94.11,43.34,10.22,22.02,45.1,25.72,0
93.78,42.71,1.95,14.19,37.42,17.68,0
22.95,42.92,1.42,78.58,11.05,26.05,0
52.13,43.71,1.52,79.43,5.47,39.29,0
52.46,44.5,11.18,50.31,22.51,44.93,0
45.19,44.4,12.69,93.06,48.29,27.9,0
40.9,43.96,19.22,18.57,31.09,17.71,0
50.37,43.27,19.98,10.22,31.03,8.72,0
52.97,42.88,10.7,29.59,19.24,8.91,0
92.49,41.89,18.95,36.81,30.69,45.93,0
80.8,41.97,19.02,13.68,12.27,48.23,0
21.06,42.96,5.9,47.74,36.18,37.99,0
41.56,43.91,11.23,55.67,23.25,12.61,0
84.0,44.3,10.47,62.31,15.23,29.47,0
58.64,43.64,19.82,63.08,21.69,39.75,0
48.84,44.23,7.59,46.02,40.18,26.79,0
63.24,44.24,7.5,81.95,15.72,15.1,0
39.56,45.17,1.17,66.59,28.0,25.05,0
62.84,45.34,17.41,18.25,30.61,44.06,0
73.85,46.07,8.07,13.78,25.61,22.75,0
3.74,46.86,0.48,0.96,0.5,0.7,1
14.5,46.41,0.22,0.32,1.05,1.38,1
11.07,46.04,0.03,0.05,0.77,0.71,1
7.42,45.86,0.16,0.19,0.62,1.95,1
6.73,46.3,0.29,0.98,0.48,1.36,1
9.15,46.78,0.04,0.68,0.13,1.19,1
3.24,46.21,0.42,0.03,1.69,0.92,1
2.09,46.45,0.48,0.07,0.4,0.7,1
8.22,46.27,0.06,0.29,0.48,0.43,1
10.59,47.18,0.11,0.37,0.78,1.95,1
12.02,47.19,0.12,0.07,0.63,0.53,1
11.69,46.82,0.43,0.84,0.72,1.37,1
1.01,47.21,0.35,0.01,0.82,0.66,1
11.52,47.66,0.15,0.81,0.59,0.89,1
10.42,48.49,0.49,0.23,1.32,1.22,1
2.43,48.16,0.38,0.57,0.55,0.95,1
8.73,47.26,0.44,0.57,1.26,1.04,1
3.57,46.91,0.25,0.31,0.36,1.01,1
3.95,47.32,0.23,0.13,1.86,1.74,1
1.68,47.61,0.39,0.81,1.54,0.23,1
12.53,46.68,0.29,0.65,0.92,1.06,1
9.62,45.95,0.04,0.44,0.59,1.09,1
10.41,46.7,0.4,0.16,0.21,0.29,1
7.97,47.36,0.23,0.11,1.3,1.74,1
9.43,46.63,0.04,0.11,0.1,0.51,1
3.97,47.05,0.19,0.94,1.22,1.67,1
1.78,48.04,0.37,0.28,1.28,0.68,1
4.03,48.49,0.14,0.93,0.05,1.39,1
12.56,48.79,0.49,0.98,0.13,1.64,1
9.75,48.67,0.06,0.65,1.96,1.82,1
0.7,47.78,0.18,0.83,1.4,0.92,1
6.46,47.83,0.23,0.93,1.28,0.62,1
1.08,48.19,0.49,0.36,0.96,0.71,1
9.97,48.5,0.36,0.27,0.63,0.25,1
0.69,48.42,0.3,0.87,1.78,0.9,1
1.25,49.1,0.34,0.82,0.49,0.84,1
13.17,49.92,0.12,0.55,0.38,0.2,1
12.33,49.61,0.38,0.05,1.69,0.88,1
8.24,48.98,0.05,0.76,1.16,0.37,1
2.85,48.08,0.03,0.59,1.68,0.03,1
8.63,47.63,0.41,0.33,0.7,1.19,1
0.5,47.98,0.37,0.63,1.16,1.48,1
3.17,48.7,0.18,0.13,0.26,1.35,1
14.44,48.85,0.31,0.18,0.21,1.63,1
9.31,49.35,0.39,0.7,1.67,0.11,1
12.78,48.42,0.14,0.64,0.63,1.92,1
8.74,48.4,0.08,0.71,0.35,0.47,1
13.73,49.23,0.11,0.14,1.52,1.0,1
2.28,49.41,0.32,0.23,0.31,1.37,1
11.35,49.0,0.15,0.45,0.81,1.97,1
42.11,48.53,7.74,58.64,16.35,46.19,0
87.19,49.47,2.97,67.37,45.81,12.59,0
53.97,49.07,18.97,69.3,18.57,13.47,0
26.98,48.36,3.73,14.94,24.03,40.8,0
29.77,49.21,13.23,23.73,9.39,12.51,0
81.61,49.57,7.73,67.3,29.18,35.47,0
67.16,49.71,6.06,8.71,25.5,45.09,0
82.43,50.67,19.84,20.54,36.13,35.34,0
93.92,51.23,14.05,28.14,40.94,9.82,0
88.26,50.85,8.27,64.91,24.36,24.7,0
77.16,51.33,18.79,94.37,12.87,44.36,0
38.96,51.77,2.28,30.46,46.05,33.49,0
39.29,51.06,14.67,7.67,21.89,33.2,0
81.73,50.28,5.47,66.97,23.23,31.82,0
21.27,49.7,18.28,30.61,41.89,49.97,0
39.89,50.29,13.59,96.72,46.21,27.63,0
30.18,49.49,19.57,96.61,12.37,18.47,0
40.38,50.45,16.5,40.94,8.98,20.4,0
67.23,50.01,8.91,20.82,49.38,41.94,0
25.26,50.01,2.08,16.44,31.13,46.79,0
83.22,49.73,9.47,72.32,37.93,12.83,0
67.8,49.68,2.34,39.35,29.07,49.83,0
81.2,49.5,9.21,80.66,31.79,44.9,0
65.32,48.54,12.97,44.65,11.49,9.21,0
85.52,48.55,5.49,25.09,38.12,19.4,0
32.19,49.07,19.24,85.9,43.87,23.3,0
30.79,49.11,1.16,6.9,31.4,25.49,0
20.56,48.57,9.03,73.22,24.92,37.95,0
80.99,49.23,12.18,25.02,15.65,33.26,0
51.17,49.21,5.91,87.37,35.12,25.16,0
35.32,49.18,12.91,39.08,49.8,26.61,0
62.44,49.35,18.42,81.08,25.3,37.34,0
56.93,49.02,4.65,49.07,16.06,46.17,0
91.42,48.78,11.13,65.0,29.43,10.82,0
27.44,48.11,12.84,47.45,40.01,14.92,0
50.47,47.27,18.61,72.49,23.85,28.28,0
93.84,48.21,13.66,32.11,31.36,9.93,0
33.11,48.55,13.31,28.32,37.29,39.96,0
66.09,49.53,17.96,12.47,19.89,16.17,0
49.2,49.09,14.92,70.05,14.54,15.75,0
50.83,48.77,5.45,6.87,44.57,48.45,0
45.39,48.09,1.13,69.62,42.14,11.6,0
79.26,47.83,12.71,9.26,33.01,18.9,0
77.73,48.37,16.41,43.03,47.62,23.29,0
56.29,49.03,18.05,91.24,8.93,47.14,0
79.35,49.93,4.82,81.49,43.26,18.01,0
23.74,48.96,3.85,56.07,30.91,34.03,0
92.03,49.83,1.85,18.59,5.63,30.51,0
69.95,49.83,16.63,6.26,29.39,25.68,0
25.42,49.13,14.0,52.81,39.43,26.84,0
9.76,50.05,0.09,0.87,1.23,0.31,1
7.82,50.69,0.04,0.63,0.51,1.61,1
14.69,50.78,0.25,0.45,1.51,0.26,1
8.24,49.98,0.04,0.42,1.71,1.71,1
1.45,49.18,0.13,0.87,0.26,1.44,1
9.38,48.65,0.18,0.79,0.47,1.28,1
10.73,47.91,0.44,0.13,1.73,1.19,1
6.47,47.92,0.08,0.7,1.52,0.21,1
12.24,47.71,0.47,0.51,1.9,1.07,1
12.74,48.37,0.25,0.47,0.98,1.69,1
6.11,48.96,0.17,0.49,1.15,0.48,1
7.35,48.57,0.17,0.11,0.48,1.9,1
2.62,48.66,0.23,0.31,0.07,0.65,1
8.32,48.17,0.18,0.45,1.93,0.75,1
3.73,47.22,0.23,0.76,0.41,1.42,1
6.34,47.7,0.39,0.34,1.13,0.41,1
0.88,48.14,0.43,0.2,1.75,0.71,1
4.86,47.31,0.45,0.13,0.36,0.99,1
3.02,47.4,0.47,0.98,0.75,1.85,1
4.12,47.74,0.35,0.66,1.98,0.53,1
0.88,48.32,0.06,0.0,2.0,1.6,1
7.69,48.83,0.15,0.15,0.57,0.75,1
8.14,49.69,0.04,0.02,0.2,0.82,1
9.6,50.45,0.4,0.47,0.72,0.22,1
11.77,51.34,0.08,0.51,0.97,1.25,1
8.74,50.4,0.27,0.05,0.13,0.37,1
11.18,50.01,0.36,0.14,1.67,0.31,1
3.81,50.98,0.19,0.25,0.98,0.81,1
0.93,51.65,0.07,0.05,1.25,0.11,1
7.73,51.29,0.26,0.56,0.34,0.4,1
8.94,51.9,0.11,0.12,1.94,0.04,1
11.84,52.18,0.15,0.14,0.29,1.39,1
11.76,52.87,0.47,0.69,0.31,0.49,1
3.22,53.17,0.04,0.7,0.81,1.84,1
1.45,52.27,0.47,0.26,0.67,0.8,1
7.5,52.87,0.06,0.4,0.7,1.55,1
2.39,53.29,0.18,0.37,0.3,1.6,1
2.94,54.26,0.18,0.11,1.26,0.24,1
11.73,53.61,0.2,0.58,1.82,1.11,1
5.74,54.4,0.42,0.64,1.3,1.73,1
13.8,54.61,0.05,0.54,1.48,1.51,1
2.59,53.96,0.4,0.72,0.17,0.93,1
5.13,54.29,0.01,0.4,1.1,1.24,1
12.56,55.24,0.11,0.12,1.7,0.31,1
12.65,55.51,0.25,0.98,0.19,0.61,1
5.32,55.82,0.46,0.07,1.1,1.18,1
3.91,55.94,0.18,0.84,0.39,1.65,1
11.46,55.81,0.36,0.21,1.14,1.74,1
14.5,55.45,0.23,0.14,0.78,1.9,1
13.03,55.07,0.44,0.35,0.17,1.45,1
78.72,54.96,9.41,51.1,40.01,22.21,0
48.21,55.0,7.98,54.96,41.4,21.28,0
70.3,55.16,6.12,31.36,47.0,37.56,0
68.58,54.88,1.56,63.72,27.93,29.56,0
26.11,53.98,4.67,95.32,23.39,26.0,0
22.82,54.47,14.63,56.12,27.89,15.94,0
32.62,54.76,4.61,48.77,17.88,16.14,0
68.82,55.72,16.67,44.68,8.29,17.31,0
64.72,55.86,14.49,5.7,28.32,6.69,0
89.06,56.21,19.4,56.35,25.62,47.53,0
24.87,56.37,9.85,27.82,26.14,25.5,0
46.76,56.05,4.12,52.85,42.36,34.88,0
90.16,56.71,18.33,24.89,6.77,38.36,0
92.59,56.2,17.91,62.05,28.85,6.25,0
54.47,56.33,12.94,57.94,38.42,17.59,0
26.61,55.88,8.86,76.27,36.2,49.58,0
57.36,56.65,7.26,46.86,43.56,35.79,0
35.26,56.28,17.59,10.68,44.99,19.81,0
58.41,56.07,18.87,9.54,20.85,43.55,0
34.94,56.08,9.07,41.63,46.19,39.29,0
